feature,coefficient
city_PORT ALSWO,-0.006966251696681876
city_PORT ALSWORTH,0.012810834316031909
city_PORT ASHTON,-0.00696625169668187
city_PORT BAINBRIDGE,-0.004925634555376881
city_PORT CHALMERS,-0.004925634555376882
city_PORT GRAHAM,-0.006966251696681868
city_PORT HEIDE,-0.006966251696681871
city_PORT HEIDEN,-0.0030136716246287475
city_PORT LIONS,0.014277691342691561
city_PORT MOLLER,-0.013035962307375984
city_PORT WALTER,-0.004925634555376881
city_PORTAGE,-0.008532312826749999
city_PORTAGE CREEK,0.024000828375707512
city_PROSPECT CREEK,-0.008532312826750002
city_PRUDHOE BAY,-0.00853231282675
city_PT. BAKER,-0.0049256345553768816
city_PT. MACKENZIE,-0.00492563455537688
city_PTARMIGAN PASS,-0.006966251696681877
city_PUGET BAY,-0.004925634555376881
city_PUMICE CREEK,-0.004925634555376879
city_PUNTILLA,-0.004925634555376883
city_PUNTILLA LAKE,-0.006966251696681871
city_PURKEYPILE MINE,-0.004925634555376882
city_QUARTZ CREEK,-0.004925634555376882
city_QUEENS CANNERY,-0.0049256345553768816
city_QUINHAGAK,0.005721246183441156
city_QUZINKIE,-0.004925634555376883
city_RAINBOW LAKE,-0.008532312826749999
city_RAINEY PASS,0.0240008283757075
city_RAINY PASS,0.014277691342691579
city_RAMPART,-0.006966251696681867
city_RAMSEY BAY,0.03334806126849095
city_RED DEVIL,0.018400821367415363
city_RED LAKE,-0.0049256345553768816
city_REDOUBT BAY,-0.006966251696681872
city_REFUGE COVE,-0.0049256345553768816
city_RESURRECT'N BAY,-0.004925634555376881
city_ROCHEZ MOUTONEE,-0.004925634555376881
city_ROCKY RIVER,0.0
city_ROHN,-0.004925634555376881
city_ROHN RIVER,0.0
city_ROHN ROADHOUSE,-0.0049256345553768816
city_RUBY,0.011021212917541363
city_RUSH LAKE,-0.004925634555376881
city_RUSSIAN MISSION,0.022917342754056318
city_RUTH LAKE,-0.004925634555376881
city_SAINT MARY'S,-0.008532312826750004
city_SAINT MARYS,0.039342265114633096
city_SAINT MICHAEL,-0.00492563455537688
city_SALCHA,0.006042340454712316
city_SAMSING COVE,-0.004925634555376884
city_SAND POINT,0.008332813724698287
city_SANDY PIONT,0.0
city_SANONA CREEK,0.033348061268490915
city_SAVOONGA,0.018400821367415353
city_SAWMILL BAY,0.0
city_SCAMMON BAY,-0.012068344946218806
city_SELAWIK,0.006042340454712335
