Latitude,Longitude,Make,Model,AmateurBuilt,PurposeOfFlight,WeatherCondition,EventMonth,InjuryBool,OccurredNearAirport,EventHour
61.74363,-142.2717,PIPER,PA-20,0,PERS,VMC,3,0,0,12
62.315222,-150.09988,CESSNA,172N,0,PERS,VMC,3,0,1,18
61.262204,-145.87494,EUROCOPTER,OTHER,0,POSI,VMC,3,1,0,14
62.952784,-155.60704,CESSNA,OTHER,0,PERS,VMC,3,0,1,14
59.648403,-154.98516,CESSNA,U206F,0,BUS,IMC,3,1,0,12
61.639338,-149.28758,PIPER,PA-18-135,0,PERS,VMC,2,1,1,12
70.111113,-148.27498,DEHAVILLAND,DHC-3,0,BUS,VMC,2,0,1,8
60.250092,-151.30005,PIPER,PA-22-150,0,PERS,VMC,2,0,1,15
61.977096,-151.26242,PIPER,PA-18-150,0,PERS,VMC,1,0,0,11
59.403056,-136.01944,OTHER,OTHER,1,PERS,VMC,12,0,1,9
60.200057,-154.33666,CESSNA,208,0,BUS,VMC,12,1,1,18
60.636564,-151.30359,OTHER,OTHER,0,BUS,VMC,11,0,1,15
61.250133,-148.58345,PIPER,PA-18,0,PERS,VMC,11,0,0,11
60.779217,-161.8368,CESSNA,207A,0,BUS,VMC,11,0,1,17
65.300192,-143.13334,OTHER,OTHER,0,PUBU,VMC,11,0,1,15
57.805489,-152.36548,OTHER,OTHER,1,PERS,VMC,11,1,0,14
61.718812,-150.05409,OTHER,OTHER,1,PERS,VMC,10,1,1,17
58.355395,-134.58326,CESSNA,208B,0,Unknown,VMC,10,0,1,7
61.702064,-148.97528,CESSNA,180J,0,PERS,VMC,10,0,0,12
61.40406,-148.60457,ROBINSON HELICOPTER COMPANY,R44 II,0,AOBV,VMC,10,0,0,12
61.746951,-150.06163,PIPER,PA-18-150,0,PERS,VMC,9,0,0,9
67.489064,-162.17135,CESSNA,OTHER,0,PERS,VMC,9,0,1,15
61.791111,-148.35166,PIPER,PA-14,0,PERS,VMC,9,1,1,18
60.0952,-142.8183,PIPER,PA-18-150,0,BUS,VMC,9,0,0,18
64.310083,-147.3275,CHAMPION,7GCBC,0,PERS,VMC,9,0,1,13
59.643255,-151.48317,PIPER,PA-22-150,0,PERS,VMC,9,0,1,13
61.3662,-149.5083,CESSNA,OTHER,0,INST,VMC,9,0,1,13
68.050258,-149.56688,PIPER,PA-22-150,0,PERS,VMC,9,0,1,14
60.2,-154.32,STINSON,108-3,0,PERS,VMC,9,0,1,8
62.537216,-149.64694,PIPER,PA-18-150,0,PERS,VMC,9,0,0,15
64.774519,-147.33907,AERONCA,15AC,0,PERS,VMC,9,1,1,19
63.999752,-144.73459,OTHER,OTHER,0,BUS,VMC,9,1,0,16
61.272318,-152.06502,PIPER,PA-12,0,PERS,VMC,9,0,0,12
58.406419,-136.98371,PIPER,PA-18-150,0,PERS,VMC,9,0,0,9
62.333333,-147.67583,PIPER,PA-18-150,0,PERS,VMC,9,0,0,14
58.0903,-136.41332,ROBINSON HELICOPTER COMPANY,R44 II,0,POSI,VMC,8,0,0,16
58.0903,-136.41332,ROBINSON HELICOPTER COMPANY,R44 II,0,EXLD,VMC,8,0,0,12
60.48,-151.04,PIPER,OTHER,0,PERS,VMC,8,0,1,11
60.77425,-151.89859,PIPER,PA-18-150,0,PERS,VMC,8,0,1,14
63.01,-152.48,PIPER,PA-12,0,PERS,VMC,8,0,1,18
68.07526,-155.83897,DEHAVILLAND,DHC-3,0,BUS,VMC,8,0,0,12
57.496253,-152.58134,DEHAVILLAND,DHC-2 MK. I(L20A),0,PERS,VMC,8,0,0,8
61.639324,-149.2854,PIPER,PA-18-150,0,PERS,VMC,8,0,1,17
64.935913,-148.20412,CESSNA,208,0,Unknown,IMC,8,0,0,13
61.210482,-150.94421,PIPER,PA-14,0,PERS,VMC,8,1,0,18
60.475139,-151.03963,CESSNA,180H,0,INST,VMC,8,0,1,14
62.293727,-153.37426,PIPER,PA-18-150,0,PERS,VMC,8,0,0,14
62.635386,-149.06035,PIPER,PA-18,0,PERS,VMC,8,1,1,19
62.318002,-150.11321,OTHER,OTHER,0,PERS,VMC,8,0,1,11
55.482583,-131.22532,DEHAVILLAND,OTHER,0,Unknown,IMC,8,1,0,9
60.528637,-150.82989,STINSON,108-1,0,PERS,VMC,8,0,1,13
59.12105,-155.4005,CESSNA,U206F,0,OWRK,VMC,8,1,0,15
61.198351,-149.13063,CESSNA,172P,0,INST,VMC,7,1,0,12
61.181371,-149.97211,PIPER,PA-14,0,PERS,VMC,7,0,1,14
58.822224,-155.57383,DEHAVILLAND,OTHER,0,OWRK,VMC,7,0,0,10
61.918987,-150.99146,CESSNA,172,0,PERS,VMC,7,1,0,11
62.533065,-151.50171,PIPER,PA-18-135,0,PERS,VMC,7,0,1,11
65.413046,-150.04006,CESSNA,170,0,PERS,VMC,7,0,0,11
59.126249,-138.59752,BEECH,OTHER,0,PERS,VMC,7,0,1,9
56.008959,-132.84709,DEHAVILLAND,OTHER,0,POSI,VMC,7,0,1,5
61.161813,-149.98618,MAULE,M-5-210C,0,PERS,VMC,7,0,1,14
61.7318,-144.9436,CESSNA,185,0,PERS,VMC,7,0,1,21
61.501454,-149.09937,CHAMPION,7GCBC,0,PERS,VMC,7,1,0,11
62.173903,-150.06427,PIPER,PA-18-150,0,PERS,VMC,7,0,1,22
58.09604,-135.40963,CESSNA,A185F,0,PERS,VMC,7,0,1,10
62.56,-150.77,PIPER,PA-18-150,0,INST,VMC,7,0,1,13
64.816936,-147.4168,CESSNA,170B,0,PERS,VMC,7,1,1,13
60.716937,-150.33359,PIPER,J3C-65,0,PERS,VMC,6,0,0,14
59.88313,-157.76075,CESSNA,A185F,0,BUS,VMC,6,0,1,16
64.4198,-148.46158,BELLANCA,8GCBC,0,PERS,VMC,6,0,1,7
67.50296,-148.4935,CESSNA,A185F,0,PERS,VMC,6,0,1,20
60.702468,-143.5103,CESSNA,OTHER,0,PERS,IMC,5,1,0,12
56.076912,-159.67982,PIPER,PA-18-150,0,PERS,Unknown,5,0,0,8
61.341339,-148.9988,BELLANCA,7GCBC,0,PERS,VMC,5,0,1,16
61.317989,-148.2837,PIPER,OTHER,0,PERS,VMC,5,0,0,9
60.568912,-151.24439,PIPER,PA-12,0,PERS,VMC,5,0,1,12
62.288694,-145.29136,PIPER,OTHER,0,PERS,VMC,5,0,0,14
61.564116,-149.12691,ENSTROM,F-28F,0,OWRK,VMC,5,0,0,13
55.2001,-162.71682,PIPER,PA-18-150,0,PERS,VMC,5,0,1,12
61.716878,-150.08357,PIPER,PA-22-150,0,PERS,VMC,5,0,1,11
61.409106,-149.52749,CESSNA,140,0,PERS,VMC,4,0,1,17
61.2831,-148.4241,CESSNA,140,0,PERS,VMC,4,0,0,19
59.3063,-154.5899,CESSNA,180,0,PERS,VMC,4,0,0,10
56.31084,-158.5348,BEECH,OTHER,0,BUS,VMC,4,0,1,9
61.21628,-149.83644,CESSNA,A185F,0,PERS,VMC,4,0,1,11
61.170239,-154.82187,CESSNA,170A,0,PERS,VMC,4,0,0,9
64.815111,-147.85644,CESSNA,208B,0,BUS,IMC,4,0,1,12
61.176084,-149.94358,PIPER,PA-18A,0,PERS,VMC,3,1,1,15
61.451718,-148.36552,OTHER,OTHER,0,OWRK,VMC,3,1,0,17
64.815111,-147.85644,CESSNA,A185F,0,PERS,VMC,3,1,1,14
60.204333,-154.31887,BEECH,OTHER,0,BUS,VMC,3,0,1,15
61.537846,-165.60223,CESSNA,208B,0,BUS,VMC,3,0,1,16
60.12,-150.43,PIPER,PA-18A 150,0,PERS,VMC,3,0,0,16
61.212147,-149.85248,PIPER,PA-20,0,PERS,VMC,3,0,1,12
61.60208,-151.45001,CESSNA,A185F,0,PERS,VMC,3,0,1,15
61.233417,-147.85021,TAYLORCRAFT,BC12-D,0,PERS,VMC,3,0,0,17
58.872527,-152.13761,OTHER,OTHER,0,PERS,Unknown,3,1,0,15
62.293287,-153.36195,CESSNA,U206G,0,Unknown,VMC,2,0,1,15
61.336392,-152.01643,MAULE,M-6-235,0,PERS,VMC,2,1,0,13
61.584722,-144.04583,CESSNA,185,0,BUS,VMC,2,1,0,10
61.210591,-149.8406,PIPER,PA-14,0,INST,VMC,1,0,1,17
60.90678,-149.62317,CESSNA,OTHER,0,INST,VMC,12,1,1,14
58.354712,-134.57847,PIPER,PA18,0,PERS,VMC,12,0,1,16
